Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,Tipo,ID,Ciudad,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Barrio_geopy,Barrio_Recod,Corredor,DireccionNorm,Latitud,Longitud
USD 6.000,"Belgrano, Capital Federal",$ 650.000 Expensas,5.0,370.0,11 de Septiembre al 1900,si,8490000.0,2.29459459459459e+16,departamentos-,53759532,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"11 de Septiembre 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5529809,-58.4561366
USD 300,"Belgrano, Capital Federal",$ 60.000 Expensas,1.0,34.0,Libertador al 5800,si,424500.0,1248529411764700.0,departamentos-,53745219,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Libertador 5800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5587582,-58.4461545
USD 1.300,"Belgrano, Capital Federal",,2.0,50.0,Sucre al 1500,si,1839500.0,36790.0,departamentos-,53334845,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Sucre 1500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5585464,-58.445841
USD 800,"Belgrano, Capital Federal",,2.0,49.0,Virrey Olaguer y Feliú 2467,si,1132000.0,2310204081632650.0,departamentos-,53814999,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Virrey Olaguer y Feliú 2467,Belgrano, Ciudad de Buenos Aires, Argentina",,
850000,"Belgrano, Capital Federal",$ 72.000 Expensas,4.0,78.0,AV Libertador al 4500,no,850000.0,1.08974358974358e+16,departamentos-,53923974,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"AV Libertador 4500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5601326,-58.4447943
870000,"Belgrano, Capital Federal",$ 181.500 Expensas,2.0,47.0,Amenabar al 1300,no,870000.0,1851063829787230.0,departamentos-,54074333,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Amenabar 1300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5594006,-58.461778
650000,"Belgrano, Capital Federal",$ 150.000 Expensas,1.0,38.0,Avenida del Libertador al 5700,no,650000.0,1.71052631578947e+16,departamentos-,54141533,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Avenida del Libertador 5700,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55969,-58.4453545
650000,"Belgrano, Capital Federal",$ 119.000 Expensas,,74.0,La Pampa al 2600,no,650000.0,8783783783783780.0,departamentos-,54082996,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"La Pampa 2600,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5659622,-58.4559529
USD 1.000,"Belgrano, Capital Federal",$ 159.000 Expensas,4.0,99.0,Cuba y José Hernández,si,1415000.0,1.42929292929292e+16,departamentos-,53653731,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Cuba y José Hernández,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 1.000,"Belgrano, Capital Federal",,3.0,66.0,Montañeses  al 1900,si,1415000.0,2143939393939390.0,departamentos-,53530471,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Montañeses 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5594134,-58.4472552
380000,"Belgrano, Capital Federal",$ 86.000 Expensas,1.0,37.0,Av Federico Lacroze al 1800,no,380000.0,1027027027027020.0,departamentos-,54154310,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av Federico Lacroze 1800,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 10.000,"Belgrano, Capital Federal",,6.0,350.0,Forum Alcorta,si,14150000.0,4042857142857140.0,departamentos-,52886421,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Forum Alcorta,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55216355,-58.43900079731711
USD 8.000,"Belgrano, Capital Federal",$ 1.000.000 Expensas,5.0,450.0,Echeverria al 1800,si,11320000.0,2.51555555555555e+16,departamentos-,54016587,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Echeverria 1800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5596327,-58.4500122
USD 700,"Belgrano, Capital Federal",$ 55.000 Expensas,2.0,46.0,Av. Cramer AL al 2200,si,990500.0,2.15326086956521e+16,departamentos-,54044630,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Cramer AL 2200,Belgrano, Ciudad de Buenos Aires, Argentina",-34.558119,-58.4669826
USD 700,"Belgrano, Capital Federal",$ 100.000 Expensas,1.0,53.0,arcos 1440,si,990500.0,1868867924528300.0,departamentos-,53264722,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"arcos 1440,Belgrano, Ciudad de Buenos Aires, Argentina",-34.56644169183674,-58.4483318
490000,"Belgrano, Capital Federal",$ 160.000 Expensas,1.0,50.0,Av. Libertador,no,490000.0,9800.0,departamentos-,53885479,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Libertador,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5617403,-58.4431705
400000,"Belgrano, Capital Federal",$ 54.000 Expensas,1.0,35.0,Franklin Roosevelt 3002,no,400000.0,1142857142857140.0,departamentos-,53401802,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Franklin Roosevelt 3002,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5609241,-58.4662146
USD 2.500,"Belgrano, Capital Federal",$ 200.000 Expensas,3.0,130.0,Castañeda 1800,si,3537500.0,2721153846153840.0,departamentos-,53582016,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Castañeda 1800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5522212,-58.4380702
450000,"Belgrano, Capital Federal",$ 50.000 Expensas,1.0,43.0,Av Cramer 2274,no,450000.0,1.04651162790697e+16,departamentos-,53676611,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av Cramer 2274,Belgrano, Ciudad de Buenos Aires, Argentina",-34.56324021836735,-58.46279913061225
USD 2.500,"Belgrano, Capital Federal",$ 500.000 Expensas,4.0,176.0,Maure 2100,si,3537500.0,2009943181818180.0,departamentos-,48860614,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Maure 2100,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 1.000,"Belgrano, Capital Federal",,2.0,47.0,Jorge Newbery 2460,si,1415000.0,3.01063829787234e+16,departamentos-,53473719,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Jorge Newbery 2460,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 950,"Belgrano, Capital Federal",$ 100.000 Expensas,1.0,41.0,Mariscal Antonio José de Sucre 1530,si,1344250.0,3278658536585360.0,departamentos-,53813362,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Mariscal Antonio José de Sucre 1530,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55891261428572,-58.446483457142854
690000,"Belgrano, Capital Federal",$ 155.000 Expensas,3.0,70.0,AV DEL LIBERTADOR 5831,no,690000.0,9857142857142850.0,departamentos-,54144158,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"AV DEL LIBERTADOR 5831,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5581765047619,-58.44615674761904
USD 3.000,"Belgrano, Capital Federal",,4.0,124.0,Virrey  Olaguer  y Feliu,si,4245000.0,3423387096774190.0,departamentos-,53761020,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Virrey Olaguer y Feliu,Belgrano, Ciudad de Buenos Aires, Argentina",,
350000,"Belgrano, Capital Federal",$ 120.000 Expensas,2.0,50.0,Maure  al 2500,no,350000.0,7000.0,departamentos-,54044265,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Maure 2500,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 650,"Belgrano, Capital Federal",$ 240.000 Expensas,2.0,56.0,Libertador al 5700,si,919750.0,1642410714285710.0,departamentos-,53268873,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Libertador 5700,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55969,-58.4453545
USD 1.000,"Belgrano, Capital Federal",$ 127.000 Expensas,4.0,104.0,Cuba  al 1900,si,1415000.0,1360576923076920.0,departamentos-,53473286,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Cuba 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5629171,-58.4531456
450000,"Belgrano, Capital Federal",$ 80.000 Expensas,2.0,35.0,La Pampa ,no,450000.0,1.28571428571428e+16,departamentos-,46977390,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"La Pampa ,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5589896,-58.4443218
USD 1.100,"Belgrano, Capital Federal",$ 190.000 Expensas,2.0,55.0,Mirabilia Belgrano  - Arcos 2646,si,1556500.0,28300.0,departamentos-,53404639,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Mirabilia Belgrano - Arcos 2646,Belgrano, Ciudad de Buenos Aires, Argentina",,
600000,"Belgrano, Capital Federal",$ 145.000 Expensas,2.0,50.0,Montañeses al 2600,no,600000.0,12000.0,departamentos-,53902079,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Montañeses 2600,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5530292,-58.452772
350000,"Belgrano, Capital Federal",$ 80.000 Expensas,1.0,39.0,Crámer 1663,no,350000.0,8974358974358970.0,departamentos-,53845537,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Crámer 1663,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5614325,-58.4641783
USD 650,"Belgrano, Capital Federal",$ 79.000 Expensas,3.0,65.0,"CABILDO, AVDA. 2700. Entre Roosevelt, franklin y Ugarte, manuel",si,919750.0,14150.0,departamentos-,53773113,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"CABILDO, AVDA. 2700. Entre Roosevelt, franklin y Ugarte, manuel,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 2.500,"Belgrano, Capital Federal",$ 415.000 Expensas,4.0,132.0,Virrey Olaguer y Feliu,si,3537500.0,2.67992424242424e+16,departamentos-,53761002,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Virrey Olaguer y Feliu,Belgrano, Ciudad de Buenos Aires, Argentina",,
380000,"Belgrano, Capital Federal",$ 22.000 Expensas,1.0,31.0,Roque Pérez 2519,no,380000.0,1.2258064516129e+16,departamentos-,53433924,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Roque Pérez 2519,Belgrano, Ciudad de Buenos Aires, Argentina",,
350000,"Belgrano, Capital Federal",$ 113.736 Expensas,2.0,43.0,Juramento  al 2800,no,350000.0,813953488372093.0,departamentos-,53939563,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Juramento 2800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5642469,-58.4601542
USD 8.500,"Belgrano, Capital Federal",$ 1.200.000 Expensas,6.0,611.0,Olleros al 2000,si,12027500.0,1968494271685760.0,departamentos-,54041620,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Olleros 2000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5624114,-58.4352459
USD 4.000,"Belgrano, Capital Federal",,4.0,189.0,Olleros 1800,si,5660000.0,2.99470899470899e+16,departamentos-,53484188,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Olleros 1800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5623452,-58.4351759
USD 650,"Belgrano, Capital Federal",$ 160.000 Expensas,2.0,56.0,Migueletes al 1700,si,919750.0,1642410714285710.0,departamentos-,54106697,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Migueletes 1700,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5600047,-58.443372
USD 700,"Belgrano, Capital Federal",$ 100.000 Expensas,1.0,53.0,arcos 1440,si,990500.0,1868867924528300.0,departamentos-,53264722,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"arcos 1440,Belgrano, Ciudad de Buenos Aires, Argentina",-34.56644169183674,-58.4483318
USD 8.000,"Belgrano, Capital Federal",$ 1.500.000 Expensas,6.0,500.0,ECHEVERRIA 1800,si,11320000.0,22640.0,departamentos-,53780957,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"ECHEVERRIA 1800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5596327,-58.4500122
800000,"Belgrano, Capital Federal",,3.0,78.0,Migueletes 1800,no,800000.0,1.02564102564102e+16,departamentos-,53915795,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Migueletes 1800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5590463,-58.4442002
USD 600,"Belgrano, Capital Federal",$ 86.000 Expensas,2.0,48.0,Cabildo  al 2500,si,849000.0,17687.5,departamentos-,54066830,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Cabildo 2500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5584692,-58.4599797
400000,"Belgrano, Capital Federal",,2.0,48.0,Zapata 472,no,400000.0,8333333333333330.0,departamentos-,53991707,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Zapata 472,Belgrano, Ciudad de Buenos Aires, Argentina",,
350000,"Belgrano, Capital Federal",$ 119.517 Expensas,1.0,39.0,Av. Monroe al 2100,no,350000.0,8974358974358970.0,departamentos-,54046010,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Monroe 2100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5635677,-58.4684444
USD 1.400,"Belgrano, Capital Federal",,2.0,50.0,Arcos 2100,si,1981000.0,39620.0,departamentos-,53936395,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arcos 2100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5605344,-58.4537674
800000,"Belgrano, Capital Federal",,6.0,210.0,Avemida Cabildo  4927,no,800000.0,3.8095238095238e+16,departamentos-,53787989,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Avemida Cabildo 4927,Belgrano, Ciudad de Buenos Aires, Argentina",,
450000,"Belgrano, Capital Federal",$ 70.000 Expensas,3.0,60.0,Blanco Encalada y Zapiola,no,450000.0,7500.0,departamentos-,53775697,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Blanco Encalada y Zapiola,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 1.700,"Belgrano, Capital Federal",$ 250.000 Expensas,3.0,111.0,Av. Cramer  al 1700,si,2405500.0,2.16711711711711e+16,departamentos-,54030234,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Cramer 1700,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5633558,-58.4625272
USD 600,"Belgrano, Capital Federal",,2.0,44.0,Roque Pérez 2519,si,849000.0,1.92954545454545e+16,departamentos-,54113372,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Roque Pérez 2519,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 1.000,"Belgrano, Capital Federal",,2.0,45.0,Monroe 2400,si,1415000.0,3.14444444444444e+16,departamentos-,53301017,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Monroe 2400,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5582471,-58.4596786
USD 600,"Belgrano, Capital Federal",$ 110.000 Expensas,3.0,60.0,Vidal al 2500,si,849000.0,14150.0,departamentos-,53981162,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Vidal 2500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5606179,-58.4635197
USD 5.000,"Belgrano, Capital Federal",$ 330.000 Expensas,4.0,246.0,Virrey Olaguer y Feliu al 2400,si,7075000.0,2.8760162601626e+16,departamentos-,53761026,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Virrey Olaguer y Feliu 2400,Belgrano, Ciudad de Buenos Aires, Argentina",,
430000,"Belgrano, Capital Federal",$ 115.000 Expensas,1.0,40.0,Jose Hernandez. 2700,no,430000.0,10750.0,departamentos-,53974395,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Jose Hernandez. 2700,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5672636,-58.4561399
380000,"Belgrano, Capital Federal",$ 45.000 Expensas,1.0,30.0,Arribeños 2350,no,380000.0,1.26666666666666e+16,departamentos-,54001922,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arribeños 2350,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55578517586207,-58.45216635862069
550000,"Belgrano, Capital Federal",$ 92.000 Expensas,2.0,46.0,Manuel Ugarte  al 1900,no,550000.0,1.19565217391304e+16,departamentos-,53635225,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Manuel Ugarte 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5538049,-58.4566153
400000,"Belgrano, Capital Federal",$ 150.000 Expensas,1.0,35.0,Arevalo al 2700,no,400000.0,1142857142857140.0,departamentos-,53861721,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arevalo 2700,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 800,"Belgrano, Capital Federal",$ 78.000 Expensas,3.0,98.0,3 DE FEBRERO ,si,1132000.0,1.15510204081632e+16,departamentos-,52773251,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"3 DE FEBRERO ,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5603492,-58.451173
USD 3.500,"Belgrano, Capital Federal",,4.0,155.0,Sucre 1949,si,4952500.0,3.19516129032258e+16,departamentos-,54079762,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Sucre 1949,Belgrano, Ciudad de Buenos Aires, Argentina",-34.561397497959184,-58.45093405714286
850000,"Belgrano, Capital Federal",$ 150.000 Expensas,4.0,90.0,Luis María Campos al 1600,no,850000.0,9444444444444440.0,departamentos-,53545243,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Luis María Campos 1600,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5621196,-58.4446772
680000,"Belgrano, Capital Federal",$ 195.000 Expensas,4.0,71.0,Virrey Arredondo al 2300,no,680000.0,9577464788732390.0,departamentos-,54002387,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Virrey Arredondo 2300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5662359,-58.4500653
USD 500,"Belgrano, Capital Federal",$ 139.000 Expensas,2.0,50.0,Manuel Ugarte 1870,si,707500.0,14150.0,departamentos-,54041784,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Manuel Ugarte 1870,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55367660408164,-58.45638628979592
350000,"Belgrano, Capital Federal",,2.0,60.0,BLANCO ENCALADA ,no,350000.0,5833333333333330.0,departamentos-,54009015,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"BLANCO ENCALADA ,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5614478,-58.462888
500000,"Belgrano, Capital Federal",$ 132.000 Expensas,2.0,46.0,O´higgins al 2100,no,500000.0,1.08695652173913e+16,departamentos-,53773871,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"O´higgins 2100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5599983,-58.4528924
USD 400,"Belgrano, Capital Federal",$ 32.000 Expensas,1.0,28.0,Zavalia  al 2100,si,566000.0,2.02142857142857e+16,departamentos-,54034174,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Zavalia 2100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5593342,-58.4518275
500000,"Belgrano, Capital Federal",$ 114.000 Expensas,3.0,78.0,Av. Cabildo 2911,no,500000.0,641025641025641.0,departamentos-,53954140,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Cabildo 2911,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5564337,-58.461483
USD 2.000,"Belgrano, Capital Federal",$ 550.000 Expensas,4.0,184.0,11 de Septiembre 1643 9*piso,si,2830000.0,1.53804347826086e+16,departamentos-,53548558,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"11 de Septiembre 1643 9*piso,Belgrano, Ciudad de Buenos Aires, Argentina",,
420000,"Belgrano, Capital Federal",$ 80.000 Expensas,2.0,40.0,Echeverria 2075,no,420000.0,10500.0,departamentos-,54006310,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Echeverria 2075,Belgrano, Ciudad de Buenos Aires, Argentina",-34.561043875,-58.452767825
615000,"Belgrano, Capital Federal",$ 215.000 Expensas,2.0,57.0,Amenabar al 1700,no,615000.0,1.07894736842105e+16,departamentos-,53920423,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Amenabar 1700,Belgrano, Ciudad de Buenos Aires, Argentina",-34.566912,-58.4553977
400000,"Belgrano, Capital Federal",$ 95.000 Expensas,2.0,50.0,"CAMPOS, LUIS MARIA 1200. Entre Garcia, teodoro",no,400000.0,8000.0,departamentos-,53983251,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"CAMPOS, LUIS MARIA 1200. Entre Garcia, teodoro,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 800,"Belgrano, Capital Federal",$ 69.000 Expensas,3.0,58.0,Teodoro García 2177,si,1132000.0,1.95172413793103e+16,departamentos-,54004925,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Teodoro García 2177,Belgrano, Ciudad de Buenos Aires, Argentina",-34.56928645,-58.44613485
USD 1.100,"Belgrano, Capital Federal",$ 400.000 Expensas,4.0,120.0,Juramento al 3100,si,1556500.0,1.29708333333333e+16,departamentos-,54088959,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Juramento 3100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5659449,-58.4631743
450000,"Belgrano, Capital Federal",$ 50.000 Expensas,1.0,43.0,Av Cramer 2274,no,450000.0,1.04651162790697e+16,departamentos-,53676611,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av Cramer 2274,Belgrano, Ciudad de Buenos Aires, Argentina",-34.56324021836735,-58.46279913061225
350000,"Belgrano, Capital Federal",$ 62.000 Expensas,1.0,28.0,Roosevelt 1877,no,350000.0,12500.0,departamentos-,47488336,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Roosevelt 1877,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5569363,-58.4610844
USD 5.000,"Belgrano, Capital Federal",$ 712.000 Expensas,5.0,194.0,Mirabilia Belgrano - Arcos 2646 -,si,7075000.0,3.64690721649484e+16,departamentos-,53690181,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Mirabilia Belgrano - Arcos 2646 -,Belgrano, Ciudad de Buenos Aires, Argentina",,
600000,"Belgrano, Capital Federal",,3.0,60.0,A Thomas  800,no,600000.0,10000.0,departamentos-,50465120,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"A Thomas 800,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 9.210,"Belgrano, Capital Federal",$ 45.000 Expensas,4.0,310.0,Ramsay al 2000,si,13032150.0,420391935483871.0,departamentos-,54078718,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ramsay 2000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5531399,-58.4390801
400000,"Belgrano, Capital Federal",$ 54.000 Expensas,1.0,35.0,Franklin Roosevelt 3002,no,400000.0,1142857142857140.0,departamentos-,53401802,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Franklin Roosevelt 3002,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5609241,-58.4662146
USD 1.000,"Belgrano, Capital Federal",,3.0,66.0,Montañeses  al 1900,si,1415000.0,2143939393939390.0,departamentos-,53530471,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Montañeses 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5594134,-58.4472552
USD 1.500,"Belgrano, Capital Federal",$ 130.000 Expensas,4.0,160.0,Migueletes ,si,2122500.0,13265625.0,departamentos-,53681099,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Migueletes ,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5541923,-58.4482644
USD 400,"Belgrano, Capital Federal",$ 114.000 Expensas,1.0,40.0,Jorge Newbery al 1700,si,566000.0,14150.0,departamentos-,54044835,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Jorge Newbery 1700,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 900,"Belgrano, Capital Federal",$ 100.000 Expensas,2.0,68.0,Arcos 2479,si,1273500.0,1.87279411764705e+16,departamentos-,53836327,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arcos 2479,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55681942040816,-58.45683625306122
USD 5.500,"Belgrano, Capital Federal",,6.0,340.0,Av. de los Incas al 3300,si,7782500.0,2288970588235290.0,departamentos-,54151796,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. de los Incas 3300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5725977,-58.4605388
490000,"Belgrano, Capital Federal",$ 160.000 Expensas,1.0,50.0,Av. Libertador,no,490000.0,9800.0,departamentos-,53885479,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Libertador,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5617403,-58.4431705
400000,"Belgrano, Capital Federal",$ 75.000 Expensas,2.0,40.0,Ciudad de la paz 1900,no,400000.0,10000.0,departamentos-,53943404,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ciudad de la paz 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5645991,-58.4560575
USD 1.000,"Belgrano, Capital Federal",$ 100.000 Expensas,2.0,63.0,Castañeda 1872,si,1415000.0,2246031746031740.0,departamentos-,53178846,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Castañeda 1872,Belgrano, Ciudad de Buenos Aires, Argentina",-34.553635914285714,-58.43698155714286
550000,"Belgrano, Capital Federal",$ 70.000 Expensas,1.0,44.0,Av. Cabildo al 500,no,550000.0,12500.0,departamentos-,54037203,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Cabildo 500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5564337,-58.461483
400000,"Belgrano, Capital Federal",$ 33.727 Expensas,2.0,35.0,Maure 1600,no,400000.0,1142857142857140.0,departamentos-,54063430,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Maure 1600,Belgrano, Ciudad de Buenos Aires, Argentina",,
720000,"Belgrano, Capital Federal",$ 237.000 Expensas,4.0,82.0,Av. Figueroa Alcorta al 7100,no,720000.0,8780487804878040.0,departamentos-,53938399,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Figueroa Alcorta 7100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.546646,-58.4497119
USD 700,"Belgrano, Capital Federal",$ 100.000 Expensas,2.0,57.0,3 de Febrero 1000,si,990500.0,1737719298245610.0,departamentos-,53849896,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"3 de Febrero 1000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5621316,-58.4496346
USD 400,"Belgrano, Capital Federal",$ 105.000 Expensas,2.0,40.0,Av. Presidente Figueroa Alcorta al 7100,si,566000.0,14150.0,departamentos-,54129174,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Presidente Figueroa Alcorta 7100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.546646,-58.4497119
