Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,ID,Latitud,Longitud
$ 550.000,"Palermo, Capital Federal",$ 58.500 Expensas,3.0,53.0,"Castex 3300,Palermo, Capital Federal, Buenos Aires, Argentina",no,550000.0,10377.358490566035,53313417,-34.5787917,-58.4046504
$ 350.000,"Palermo Soho, Palermo",$ 55.000 Expensas,1.0,28.0,"Soler 4400 ,Palermo Soho, Palermo, Buenos Aires, Argentina",no,350000.0,12500.0,53313430,-34.5894814,-58.4221006
$ 300.000,"San Telmo, Capital Federal",$ 38.000 Expensas,1.0,38.0,"Perú 1100. Entre Humberto 1° y Av. san juan,San Telmo, Capital Federal, Buenos Aires, Argentina",no,300000.0,7894.736842105263,53313554,,
USD 700,"Recoleta, Capital Federal",$ 50.000 Expensas,2.0,45.0,"Talcahuano 847 ,Recoleta, Capital Federal, Buenos Aires, Argentina",si,679000.0,15088.888888888889,53313578,,
USD 2.500,"Puerto Madero, Capital Federal",$ 434.000 Expensas,2.0,135.0,"Macacha Güemes 334 CABA,Puerto Madero, Capital Federal, Buenos Aires, Argentina",si,2425000.0,17962.962962962964,53313584,-34.604778189795915,-58.364138697959184
USD 1.000,"Belgrano, Capital Federal",$ 250.000 Expensas,3.0,18.0,"MENDOZA 1900,Belgrano, Capital Federal, Buenos Aires, Argentina",si,970000.0,53888.88888888889,53313587,-34.5583535,-58.4527846
$ 360.000,"Floresta, Capital Federal",$ 30.000 Expensas,2.0,1.0,"Av. Lope De Vegra  1200 7°,Floresta, Capital Federal, Buenos Aires, Argentina",no,360000.0,360000.0,53313594,,
USD 2.500,"Puerto Madero, Capital Federal",$ 430.000 Expensas,2.0,135.0,"Macacha Guemes al 300,Puerto Madero, Capital Federal, Buenos Aires, Argentina",si,2425000.0,17962.962962962964,53313646,-34.6050166,-58.3609484
USD 1.650,"Palermo, Capital Federal",$ 205.000 Expensas,4.0,95.0,"Dorrego al 2400,Palermo, Capital Federal, Buenos Aires, Argentina",si,1600500.0,16847.36842105263,53313656,-34.5818482,-58.4434945
$ 350.000,"Villa Luro, Capital Federal",$ 22.000 Expensas,1.0,46.0,"CATANIA 5600. Entre Miralla y AlbariÑo,Villa Luro, Capital Federal, Buenos Aires, Argentina",no,350000.0,7608.695652173913,53313725,,
USD 800,"Palermo Hollywood, Palermo",$ 70.000 Expensas,2.0,52.0,"Guatemala 4351,Palermo Hollywood, Palermo, Buenos Aires, Argentina",si,776000.0,14923.076923076924,53313728,-34.5771008,-58.436011
USD 500,"Caballito Norte, Caballito",$ 27.000 Expensas,2.0,48.0,"Alquiler Anual Amoblado en Caballito,Caballito Norte, Caballito, Buenos Aires, Argentina",si,485000.0,10104.166666666666,53313740,,
USD 1.100,"Puerto Madero, Capital Federal",$ 60 Expensas,2.0,57.0,"juana manso 1551,Puerto Madero, Capital Federal, Buenos Aires, Argentina",si,1067000.0,18719.298245614034,53313817,-34.6004204,-58.3638722
USD 600,"Recoleta, Capital Federal",,4.0,63.0,"Esmeralda  al 1000,Recoleta, Capital Federal, Buenos Aires, Argentina",si,582000.0,9238.09523809524,53313837,,
USD 500,"Monserrat, Capital Federal",,1.0,45.0,"Carlos calvo 1530,Monserrat, Capital Federal, Buenos Aires, Argentina",si,485000.0,10777.777777777776,53313847,-34.6199189,-58.390262
USD 2.600,"Botánico, Palermo",,4.0,145.0,"Araoz 2831,Botánico, Palermo, Buenos Aires, Argentina",si,2522000.0,17393.103448275862,53313950,-34.58384247959184,-58.41213389591837
$ 990.000,"Recoleta, Capital Federal",$ 47.000 Expensas,3.0,70.0,"José León Pagano 2600,Recoleta, Capital Federal, Buenos Aires, Argentina",no,990000.0,14142.857142857143,53272577,-34.5844327,-58.3990989
$ 850.000,"Barrio Norte, Capital Federal",$ 90.000 Expensas,5.0,130.0,"FRENCH 2800,Barrio Norte, Capital Federal, Buenos Aires, Argentina",no,850000.0,6538.461538461538,53272728,-34.588866,-58.402968
$ 285.000,"Caballito, Capital Federal",$ 50.000 Expensas,2.0,43.0,"MALVINAS ATGENTINAS 200,Caballito, Capital Federal, Buenos Aires, Argentina",no,285000.0,6627.906976744186,53272770,,
$ 420.000,"Recoleta, Capital Federal",,1.0,40.0,"Avenida Raúl Scalabrini Ortiz 3100,Recoleta, Capital Federal, Buenos Aires, Argentina",no,420000.0,10500.0,53281317,,
$ 350.000,"Núñez, Capital Federal",$ 21.000 Expensas,2.0,44.0,"Manzanares  al 2100,Núñez, Capital Federal, Buenos Aires, Argentina",no,350000.0,7954.545454545455,53281947,-34.5433896,-58.4614243
$ 650.000,"Coghlan, Capital Federal",$ 62.000 Expensas,4.0,105.0,"Roosevelt 3751,Coghlan, Capital Federal, Buenos Aires, Argentina",no,650000.0,6190.476190476191,53282055,-34.56530626780816,-58.473868075076865
$ 1.200.000,"Recoleta, Capital Federal",$ 470.000 Expensas,6.0,175.0,"Av Callao 1985,Recoleta, Capital Federal, Buenos Aires, Argentina",no,1200000.0,6857.142857142857,53282225,-34.58778721428572,-58.38721482857142
$ 480.000,"Villa Devoto, Capital Federal",$ 30.000 Expensas,2.0,47.0,"Av San Martin al 6300,Villa Devoto, Capital Federal, Buenos Aires, Argentina",no,480000.0,10212.765957446809,53282423,-34.5893154,-58.5191494
$ 530.000,"Villa Real, Capital Federal",,3.0,65.0,"BEIRO 5500,Villa Real, Capital Federal, Buenos Aires, Argentina",no,530000.0,8153.846153846154,53276011,-34.6157274,-58.5271795
USD 500,"Flores Norte, Flores",,2.0,42.0,,si,485000.0,11547.619047619048,53268834,46.3144754,11.0480288
$ 500.000,"Palermo Hollywood, Palermo",$ 90.000 Expensas,2.0,57.0,"Guatemala 5641,Palermo Hollywood, Palermo, Buenos Aires, Argentina",no,500000.0,8771.929824561403,53268855,-34.5799439122449,-58.432333871428575
$ 300.000,"Belgrano, Capital Federal",$ 52.000 Expensas,1.0,32.0,"3 de Febrero al 2500,Belgrano, Capital Federal, Buenos Aires, Argentina",no,300000.0,9375.0,53265248,-34.5530032,-58.4575079
$ 450.000,"Almagro, Capital Federal",$ 35.000 Expensas,1.0,35.0,"CASTRO BARROS 132,Almagro, Capital Federal, Buenos Aires, Argentina",no,450000.0,12857.142857142857,53276632,-34.613605185714285,-58.4204165367347
