Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,ID,Barrio_geopy,Barrio_Recod,Corredor,DireccionNorm,Latitud,Longitud
USD 1.700,"Palermo Chico, Palermo",$ 200.000 Expensas,3.0,80.0,Ruggeri  al 2900,si,2291600.0,28645.0,53344400,Palermo,PALERMO,NORTE,"Ruggeri 2900,Palermo, Buenos Aires, Argentina",,
USD 2.800,"Palermo Chico, Palermo",$ 240.000 Expensas,3.0,195.0,Departamento en Alquiler en Palermo Chico  Juez Tedin al 3000,si,3774400.0,19355.897435897437,52435945,Palermo,PALERMO,NORTE,"Departamento en Alquiler en Palermo Chico Juez Tedin 3000,Palermo, Buenos Aires, Argentina",,
$ 400.000,"Palermo Chico, Palermo",$ 68.000 Expensas,2.0,36.0,PACHECO DE MELO 3000,no,400000.0,11111.111111111111,53682605,Palermo,PALERMO,NORTE,"PACHECO DE MELO 3000,Palermo, Buenos Aires, Argentina",-34.5847019,-58.4050159
USD 2.200,"Palermo Chico, Palermo",,4.0,136.0,Arabe Siria al 3300,si,2965600.0,21805.882352941175,53558686,Palermo,PALERMO,NORTE,"Arabe Siria 3300,Palermo, Buenos Aires, Argentina",-34.5780223,-58.4118671
USD 1.800,"Palermo Chico, Palermo",$ 290.000 Expensas,4.0,155.0,Figueroa Alcorta Pte. Av. al 3000,si,2426400.0,15654.193548387097,53147924,Palermo,PALERMO,NORTE,"Figueroa Alcorta Pte. Av. 3000,Palermo, Buenos Aires, Argentina",,
USD 400,"Palermo Chico, Palermo",$ 30.000 Expensas,1.0,31.0,Las Heras al 3500,si,539200.0,17393.548387096773,53429308,Palermo,PALERMO,NORTE,"Las Heras 3500,Palermo, Buenos Aires, Argentina",-34.5827169,-58.4091925
Consultar precio,"Palermo Chico, Palermo",,4.0,411.0,Martin Coronado 3333,sin dato,,0.0024330900243309003,53087053,Palermo,PALERMO,NORTE,"Martin Coronado 3333,Palermo, Buenos Aires, Argentina",-34.57641086666666,-58.403158998989895
USD 2.000,"Palermo Chico, Palermo",$ 542.700 Expensas,3.0,115.0,Av. Libertador al 3500,si,2696000.0,23443.478260869564,49856384,Palermo,PALERMO,NORTE,"Av. Libertador 3500,Palermo, Buenos Aires, Argentina",-34.5623426,-58.4413038
USD 1.000,"Palermo Chico, Palermo",$ 165.000 Expensas,3.0,72.0,Scalabrini Ortiz al 3300,si,1348000.0,18722.222222222223,53532516,Palermo,PALERMO,NORTE,"Scalabrini Ortiz 3300,Palermo, Buenos Aires, Argentina",-34.5789877,-58.4094428
USD 3.000,"Palermo Chico, Palermo",$ 280.000 Expensas,6.0,260.0,Scalabrini Ortiz al 3200,si,4044000.0,15553.846153846154,53714967,Palermo,PALERMO,NORTE,"Scalabrini Ortiz 3200,Palermo, Buenos Aires, Argentina",-34.5799732,-58.4100111
$ 1.500.000,"Palermo Chico, Palermo",$ 136.000 Expensas,2.0,76.0,República Árabe Siria al 3000,no,1500000.0,19736.842105263157,53001400,Palermo,PALERMO,NORTE,"República Árabe Siria 3000,Palermo, Buenos Aires, Argentina",-34.5808896,-58.4137432
USD 3.300,"Palermo Chico, Palermo",$ 364.000 Expensas,6.0,200.0,Austria al 2600,si,4448400.0,22242.0,53512065,Palermo,PALERMO,NORTE,"Austria 2600,Palermo, Buenos Aires, Argentina",-34.5667355,-58.4445023
USD 3.200,"Palermo Chico, Palermo",$ 500.000 Expensas,4.0,160.0,Mariscal Castilla al 2800,si,4313600.0,26960.0,52677147,Palermo,PALERMO,NORTE,"Mariscal Castilla 2800,Palermo, Buenos Aires, Argentina",-34.5810137,-58.4013673
USD 1.100,"Palermo Chico, Palermo",$ 230.000 Expensas,4.0,89.0,Arabe Siria al 3200,si,1482800.0,16660.674157303372,53458916,Palermo,PALERMO,NORTE,"Arabe Siria 3200,Palermo, Buenos Aires, Argentina",-34.579202,-58.4126499
USD 450,"Palermo Chico, Palermo",$ 48.000 Expensas,1.0,40.0,República de la India 2800,si,606600.0,15165.0,53609475,Palermo,PALERMO,NORTE,"República de la India 2800,Palermo, Buenos Aires, Argentina",-34.5771344,-58.4140393
USD 900,"Palermo Chico, Palermo",$ 120.000 Expensas,2.0,60.0,JUAN MARIA GUTIERREZ 3900,si,1213200.0,20220.0,52277605,Palermo,PALERMO,NORTE,"JUAN MARIA GUTIERREZ 3900,Palermo, Buenos Aires, Argentina",-34.5806507,-58.4144133
USD 8.500,"Palermo Chico, Palermo",$ 1.572.750 Expensas,8.0,256.0,Figueroa Alcorta 3051,si,11458000.0,44757.8125,53571430,Palermo,PALERMO,NORTE,"Figueroa Alcorta 3051,Palermo, Buenos Aires, Argentina",-34.580011283673464,-58.39907312040816
Consultar precio,"Palermo Chico, Palermo",,4.0,411.0,Martin Coronado 3333,sin dato,,0.0024330900243309003,53087053,Palermo,PALERMO,NORTE,"Martin Coronado 3333,Palermo, Buenos Aires, Argentina",-34.57641086666666,-58.403158998989895
USD 800,"Palermo Chico, Palermo",$ 61.000 Expensas,2.0,48.0,Ruggieri al 2900,si,1078400.0,22466.666666666668,52796548,Palermo,PALERMO,NORTE,"Ruggieri 2900,Palermo, Buenos Aires, Argentina",-34.5809476,-58.4074085
USD 1.650,"Palermo Chico, Palermo",$ 195.000 Expensas,4.0,125.0,Avenida Figueroa Alcorta  al 3000,si,2224200.0,17793.6,53702881,Palermo,PALERMO,NORTE,"Avenida Figueroa Alcorta 3000,Palermo, Buenos Aires, Argentina",-34.5809679,-58.3979889
$ 400.000,"Palermo Chico, Palermo",$ 68.000 Expensas,2.0,36.0,PACHECO DE MELO 3000,no,400000.0,11111.111111111111,53682605,Palermo,PALERMO,NORTE,"PACHECO DE MELO 3000,Palermo, Buenos Aires, Argentina",-34.5847019,-58.4050159
