Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,ID,Barrio_geopy,Barrio_Recod,Corredor,DireccionNorm,Latitud,Longitud
USD 2.200,"Palermo Chico, Palermo",,4.0,136.0,Arabe Siria al 3300,si,2965600.0,21805.882352941175,53558686,Palermo,PALERMO,NORTE,"Arabe Siria 3300,Palermo, Buenos Aires, Argentina",-34.5780223,-58.4118671
USD 3.000,"Palermo Chico, Palermo",$ 280.000 Expensas,6.0,260.0,Scalabrini Ortiz al 3200,si,4044000.0,15553.846153846154,53714967,Palermo,PALERMO,NORTE,"Scalabrini Ortiz 3200,Palermo, Buenos Aires, Argentina",-34.5799732,-58.4100111
$ 1.100.000,"Palermo Chico, Palermo",$ 206.000 Expensas,4.0,99.0,"Alquiler Departamento Lafinur  al 3100, Entre Cerviño y Cabello",no,1100000.0,11111.111111111111,53487658,Palermo,PALERMO,NORTE,"Alquiler Departamento Lafinur 3100, Entre Cerviño y Cabello,Palermo, Buenos Aires, Argentina",,
USD 3.400,"Palermo Chico, Palermo",$ 540.000 Expensas,6.0,233.0,Figueroa Alcorta al 3000,si,4583200.0,19670.38626609442,53597320,Palermo,PALERMO,NORTE,"Figueroa Alcorta 3000,Palermo, Buenos Aires, Argentina",-34.5809679,-58.3979889
$ 1.500.000,"Palermo Chico, Palermo",$ 136.000 Expensas,2.0,76.0,República Árabe Siria al 3000,no,1500000.0,19736.842105263157,53001400,Palermo,PALERMO,NORTE,"República Árabe Siria 3000,Palermo, Buenos Aires, Argentina",-34.5808896,-58.4137432
USD 1.800,"Palermo Chico, Palermo",$ 227.000 Expensas,3.0,95.0,Ruggieri al 2900,si,2426400.0,25541.052631578947,53695585,Palermo,PALERMO,NORTE,"Ruggieri 2900,Palermo, Buenos Aires, Argentina",-34.5809476,-58.4074085
USD 1.800,"Palermo Chico, Palermo",$ 230.000 Expensas,4.0,140.0,Avenida Coronel Diaz 2717 7,si,2426400.0,17331.428571428572,53660712,Palermo,PALERMO,NORTE,"Avenida Coronel Diaz 2717 7,Palermo, Buenos Aires, Argentina",-34.579788,-58.4040339
USD 1.800,"Palermo Chico, Palermo",$ 290.000 Expensas,4.0,155.0,Figueroa Alcorta Pte. Av. al 3000,si,2426400.0,15654.193548387097,53147924,Palermo,PALERMO,NORTE,"Figueroa Alcorta Pte. Av. 3000,Palermo, Buenos Aires, Argentina",,
USD 4.000,"Palermo Chico, Palermo",$ 339.482 Expensas,4.0,185.0,Av. del Libertador al 2100,si,5392000.0,29145.945945945947,53483361,Palermo,PALERMO,NORTE,"Av. del Libertador 2100,Palermo, Buenos Aires, Argentina",-34.5819925,-58.4024315
USD 3.200,"Palermo Chico, Palermo",$ 500.000 Expensas,4.0,160.0,Mariscal Castilla al 2800,si,4313600.0,26960.0,52677147,Palermo,PALERMO,NORTE,"Mariscal Castilla 2800,Palermo, Buenos Aires, Argentina",-34.5810137,-58.4013673
USD 650,"Palermo Chico, Palermo",$ 45.000 Expensas,2.0,35.0,República de la India 2800,si,876200.0,25034.285714285714,53695878,Palermo,PALERMO,NORTE,"República de la India 2800,Palermo, Buenos Aires, Argentina",-34.5771344,-58.4140393
USD 400,"Palermo Chico, Palermo",$ 30.000 Expensas,1.0,31.0,Las Heras al 3500,si,539200.0,17393.548387096773,53429308,Palermo,PALERMO,NORTE,"Las Heras 3500,Palermo, Buenos Aires, Argentina",-34.5827169,-58.4091925
USD 800,"Palermo Chico, Palermo",$ 82.000 Expensas,2.0,42.0,Avenida Libertador al 2600,si,1078400.0,25676.190476190477,53405395,Palermo,PALERMO,NORTE,"Avenida Libertador 2600,Palermo, Buenos Aires, Argentina",-34.5790411,-58.4070285
USD 1.100,"Palermo Chico, Palermo",$ 240.000 Expensas,2.0,60.0,Castex  al 3400,si,1482800.0,24713.333333333332,53578239,Palermo,PALERMO,NORTE,"Castex 3400,Palermo, Buenos Aires, Argentina",-34.5779272,-58.4059996
USD 980,"Palermo Chico, Palermo",$ 237.000 Expensas,2.0,61.0,Castex al 3400,si,1321040.0,21656.39344262295,53508001,Palermo,PALERMO,NORTE,"Castex 3400,Palermo, Buenos Aires, Argentina",-34.5779272,-58.4059996
USD 20.000,"Palermo Chico, Palermo",,6.0,549.0,Torre Camps - Ugarteche al 3200,si,26960000.0,49107.46812386157,53503185,Palermo,PALERMO,NORTE,"Torre Camps - Ugarteche 3200,Palermo, Buenos Aires, Argentina",,
$ 950.000,"Palermo Chico, Palermo",$ 80.000 Expensas,4.0,93.0,Sanchez de Bustamante al 2600,no,950000.0,10215.053763440861,53626156,Palermo,PALERMO,NORTE,"Sanchez de Bustamante 2600,Palermo, Buenos Aires, Argentina",-34.5827784,-58.4018161
USD 1.000,"Palermo Chico, Palermo",$ 165.000 Expensas,3.0,72.0,Scalabrini Ortiz al 3300,si,1348000.0,18722.222222222223,53532516,Palermo,PALERMO,NORTE,"Scalabrini Ortiz 3300,Palermo, Buenos Aires, Argentina",-34.5789877,-58.4094428
USD 1.500,"Palermo Chico, Palermo",$ 170.000 Expensas,3.0,64.0,Ugarteche al 3200,si,2022000.0,31593.75,53512541,Palermo,PALERMO,NORTE,"Ugarteche 3200,Palermo, Buenos Aires, Argentina",-34.5796054,-58.4114777
USD 2.000,"Palermo Chico, Palermo",$ 542.700 Expensas,3.0,115.0,Av. Libertador al 3500,si,2696000.0,23443.478260869564,49856384,Palermo,PALERMO,NORTE,"Av. Libertador 3500,Palermo, Buenos Aires, Argentina",-34.5623426,-58.4413038
USD 11.000,"Palermo Chico, Palermo",$ 990.000 Expensas,5.0,400.0,Demaría 4500,si,14828000.0,37070.0,52144345,Palermo,PALERMO,NORTE,"Demaría 4500,Palermo, Buenos Aires, Argentina",-34.5751459,-58.4204796
USD 1.700,"Palermo Chico, Palermo",$ 200.000 Expensas,3.0,80.0,Ruggeri  al 2900,si,2291600.0,28645.0,53344400,Palermo,PALERMO,NORTE,"Ruggeri 2900,Palermo, Buenos Aires, Argentina",,
USD 9.000,"Palermo Chico, Palermo",$ 95.000 Expensas,4.0,271.0,Alcorta 3200,si,12132000.0,44767.52767527675,53366192,Palermo,PALERMO,NORTE,"Alcorta 3200,Palermo, Buenos Aires, Argentina",-34.5791246,-58.4014758
USD 5.000,"Palermo Chico, Palermo",$ 473.707 Expensas,5.0,370.0,Avenida Libertador y Cavia,si,6740000.0,18216.216216216217,53678574,Palermo,PALERMO,NORTE,"Avenida Libertador y Cavia,Palermo, Buenos Aires, Argentina",,
USD 3.500,"Palermo Chico, Palermo",$ 444.362 Expensas,6.0,185.0,Castex al 3500,si,4718000.0,25502.702702702703,53454573,Palermo,PALERMO,NORTE,"Castex 3500,Palermo, Buenos Aires, Argentina",-34.5773364,-58.4069987
USD 3.000,"Palermo Chico, Palermo",$ 135.000 Expensas,,160.0,Juan Francisco Segui al 3900,si,4044000.0,25275.0,52561473,Palermo,PALERMO,NORTE,"Juan Francisco Segui 3900,Palermo, Buenos Aires, Argentina",-34.577721,-58.4124897
USD 2.000,"Palermo Chico, Palermo",$ 512.425 Expensas,3.0,147.0,Castex al 3300,si,2696000.0,18340.136054421768,52291869,Palermo,PALERMO,NORTE,"Castex 3300,Palermo, Buenos Aires, Argentina",-34.5787917,-58.4046504
USD 2.800,"Palermo Chico, Palermo",$ 240.000 Expensas,3.0,195.0,Departamento en Alquiler en Palermo Chico  Juez Tedin al 3000,si,3774400.0,19355.897435897437,52435945,Palermo,PALERMO,NORTE,"Departamento en Alquiler en Palermo Chico Juez Tedin 3000,Palermo, Buenos Aires, Argentina",,
USD 3.500,"Palermo Chico, Palermo",$ 62.000 Expensas,4.0,156.0,Av. del Libertador al 3500,si,4718000.0,30243.589743589742,48307272,Palermo,PALERMO,NORTE,"Av. del Libertador 3500,Palermo, Buenos Aires, Argentina",-34.5623426,-58.4413038
USD 900,"Palermo Chico, Palermo",,4.0,100.0,Jeronimo Salguero al 3000,si,1213200.0,12132.0,53671991,Palermo,PALERMO,NORTE,"Jeronimo Salguero 3000,Palermo, Buenos Aires, Argentina",-34.5778642,-58.4061786
USD 1.800,"Palermo Chico, Palermo",$ 400.000 Expensas,2.0,110.0,Avenida Figueroa Alcorta al 3300,si,2426400.0,22058.18181818182,53645057,Palermo,PALERMO,NORTE,"Avenida Figueroa Alcorta 3300,Palermo, Buenos Aires, Argentina",-34.5787889,-58.4021195
$ 450.000,"Palermo Chico, Palermo",$ 57.000 Expensas,2.0,40.0,Castex y Salguero,no,450000.0,11250.0,53298772,Palermo,PALERMO,NORTE,"Castex y Salguero,Palermo, Buenos Aires, Argentina",,
$ 480.000,"Palermo Chico, Palermo",$ 70.000 Expensas,3.0,56.0,Bulnes 2700,no,480000.0,8571.42857142857,53604089,Palermo,PALERMO,NORTE,"Bulnes 2700,Palermo, Buenos Aires, Argentina",-34.5813077,-58.4063766
$ 450.000,"Palermo Chico, Palermo",$ 110.000 Expensas,2.0,45.0,SINCLAIR Y SEGUI,no,450000.0,10000.0,49829577,Palermo,PALERMO,NORTE,"SINCLAIR Y SEGUI,Palermo, Buenos Aires, Argentina",,
USD 11.000,"Palermo Chico, Palermo",$ 500.000 Expensas,4.0,404.0,Demaria Al  4500,si,14828000.0,36702.9702970297,47000657,Palermo,PALERMO,NORTE,"Demaria Al 4500,Palermo, Buenos Aires, Argentina",-34.5739613,-58.4229205
USD 4.500,"Palermo Chico, Palermo",$ 500.000 Expensas,,300.0,Libertador 3100,si,6066000.0,20220.0,53146158,Palermo,PALERMO,NORTE,"Libertador 3100,Palermo, Buenos Aires, Argentina",-34.5768102,-58.4117612
USD 1.700,"Palermo Chico, Palermo",$ 260.000 Expensas,3.0,85.0,Av Figueroa Alcorta 3351,si,2291600.0,26960.0,53510118,Palermo,PALERMO,NORTE,"Av Figueroa Alcorta 3351,Palermo, Buenos Aires, Argentina",-34.57773405102041,-58.40297011020408
USD 1.900,"Palermo Chico, Palermo",$ 345.000 Expensas,3.0,91.0,Av Figueroa Alcorta 3351,si,2561200.0,28145.054945054944,53311995,Palermo,PALERMO,NORTE,"Av Figueroa Alcorta 3351,Palermo, Buenos Aires, Argentina",-34.57773405102041,-58.40297011020408
USD 1.800,"Palermo Chico, Palermo",$ 1 Expensas,3.0,90.0,Castex 3300,si,2426400.0,26960.0,53482917,Palermo,PALERMO,NORTE,"Castex 3300,Palermo, Buenos Aires, Argentina",-34.5787917,-58.4046504
$ 700.000,"Palermo Chico, Palermo",$ 70.000 Expensas,2.0,45.0,Ugarteche  al 3100,no,700000.0,15555.555555555555,53015027,Palermo,PALERMO,NORTE,"Ugarteche 3100,Palermo, Buenos Aires, Argentina",-34.5804554,-58.4119939
USD 2.000,"Palermo Chico, Palermo",$ 200.000 Expensas,3.0,104.0,Gelly al 3300,si,2696000.0,25923.076923076922,53233610,Palermo,PALERMO,NORTE,"Gelly 3300,Palermo, Buenos Aires, Argentina",-34.5756109,-58.4069865
$ 390.000,"Palermo Chico, Palermo",,1.0,28.0,Cabello 3322,no,390000.0,13928.57142857143,53549384,Palermo,PALERMO,NORTE,"Cabello 3322,Palermo, Buenos Aires, Argentina",-34.581686628571426,-58.40795946122449
$ 400.000,"Palermo Chico, Palermo",$ 50.000 Expensas,2.0,54.0,Dirección no informada,no,400000.0,7407.407407407408,53686084,Palermo,PALERMO,NORTE,"Dirección no informada,Palermo, Buenos Aires, Argentina",,
$ 800.000,"Palermo Chico, Palermo",$ 50.000 Expensas,2.0,50.0,Lafinur 3305,no,800000.0,16000.0,53583950,Palermo,PALERMO,NORTE,"Lafinur 3305,Palermo, Buenos Aires, Argentina",-34.577524208163275,-58.41241303265306
$ 480.000,"Palermo Chico, Palermo",$ 70.000 Expensas,3.0,56.0,Bulnes 2700,no,480000.0,8571.42857142857,53604089,Palermo,PALERMO,NORTE,"Bulnes 2700,Palermo, Buenos Aires, Argentina",-34.5813077,-58.4063766
USD 1.200,"Palermo Chico, Palermo",,2.0,57.0,Beruti 3200,si,1617600.0,28378.947368421053,51185361,Palermo,PALERMO,NORTE,"Beruti 3200,Palermo, Buenos Aires, Argentina",-34.5782402,-58.4234334
USD 2.500,"Palermo Chico, Palermo",$ 1 Expensas,3.0,86.0,Guemes  3300,si,3370000.0,39186.04651162791,42068121,Palermo,PALERMO,NORTE,"Guemes 3300,Palermo, Buenos Aires, Argentina",-34.5797307,-58.4261823
USD 5.000,"Palermo Chico, Palermo",$ 384.290 Expensas,4.0,170.0,Libertador al 3500,si,6740000.0,39647.05882352941,53256875,Palermo,PALERMO,NORTE,"Libertador 3500,Palermo, Buenos Aires, Argentina",-34.5623426,-58.4413038
USD 2.600,"Palermo Chico, Palermo",,4.0,145.0,Godoy Cruz  3100 1°,si,3504800.0,24171.03448275862,53151844,Palermo,PALERMO,NORTE,"Godoy Cruz 3100 1°,Palermo, Buenos Aires, Argentina",-34.5754878,-58.4223415
USD 2.300,"Palermo Chico, Palermo",,3.0,98.0,Jeronimo Salguero  3000 7°,si,3100400.0,31636.73469387755,52751652,Palermo,PALERMO,NORTE,"Jeronimo Salguero 3000 7°,Palermo, Buenos Aires, Argentina",-34.5741429,-58.4026887
USD 1.900,"Palermo Chico, Palermo",$ 345.000 Expensas,3.0,91.0,Av Figueroa Alcorta 3351,si,2561200.0,28145.054945054944,53311995,Palermo,PALERMO,NORTE,"Av Figueroa Alcorta 3351,Palermo, Buenos Aires, Argentina",-34.57773405102041,-58.40297011020408
$ 350.000,"Palermo Chico, Palermo",$ 28.000 Expensas,2.0,32.0,Dirección no informada,no,350000.0,10937.5,53549702,Palermo,PALERMO,NORTE,"Dirección no informada,Palermo, Buenos Aires, Argentina",,
USD 900,"Palermo Chico, Palermo",$ 101.000 Expensas,3.0,85.0,Dirección no informada,si,1213200.0,14272.941176470587,48059917,Palermo,PALERMO,NORTE,"Dirección no informada,Palermo, Buenos Aires, Argentina",,
USD 11.000,"Palermo Chico, Palermo",$ 500.000 Expensas,4.0,404.0,Demaria Al  4500,si,14828000.0,36702.9702970297,47000657,Palermo,PALERMO,NORTE,"Demaria Al 4500,Palermo, Buenos Aires, Argentina",-34.5739613,-58.4229205
USD 9.000,"Palermo Chico, Palermo",,9.0,1140.0,Eduardo Costa  al 3000,si,12132000.0,10642.105263157895,53735921,Palermo,PALERMO,NORTE,"Eduardo Costa 3000,Palermo, Buenos Aires, Argentina",-34.5780529,-58.4025205
USD 2.000,"Palermo Chico, Palermo",$ 200.000 Expensas,3.0,104.0,Gelly al 3300,si,2696000.0,25923.076923076922,53233610,Palermo,PALERMO,NORTE,"Gelly 3300,Palermo, Buenos Aires, Argentina",-34.5756109,-58.4069865
USD 11.000,"Palermo Chico, Palermo",$ 500.000 Expensas,4.0,404.0,Demaria Al  4500,si,14828000.0,36702.9702970297,47000657,Palermo,PALERMO,NORTE,"Demaria Al 4500,Palermo, Buenos Aires, Argentina",-34.5739613,-58.4229205
USD 2.300,"Palermo Chico, Palermo",,3.0,98.0,Jeronimo Salguero  3000 7°,si,3100400.0,31636.73469387755,52751652,Palermo,PALERMO,NORTE,"Jeronimo Salguero 3000 7°,Palermo, Buenos Aires, Argentina",-34.5741429,-58.4026887
$ 450.000,"Palermo Chico, Palermo",$ 110.000 Expensas,2.0,45.0,SINCLAIR Y SEGUI,no,450000.0,10000.0,49829577,Palermo,PALERMO,NORTE,"SINCLAIR Y SEGUI,Palermo, Buenos Aires, Argentina",,
$ 450.000,"Palermo Chico, Palermo",$ 57.000 Expensas,2.0,40.0,Castex y Salguero,no,450000.0,11250.0,53298772,Palermo,PALERMO,NORTE,"Castex y Salguero,Palermo, Buenos Aires, Argentina",,
$ 400.000,"Palermo Chico, Palermo",$ 50.000 Expensas,2.0,54.0,Dirección no informada,no,400000.0,7407.407407407408,53686084,Palermo,PALERMO,NORTE,"Dirección no informada,Palermo, Buenos Aires, Argentina",,
USD 450,"Palermo Chico, Palermo",,2.0,70.0,cabello 3300,si,606600.0,8665.714285714286,53716614,Palermo,PALERMO,NORTE,"cabello 3300,Palermo, Buenos Aires, Argentina",-34.5817767,-58.4076197
$ 350.000,"Palermo Chico, Palermo",$ 28.000 Expensas,2.0,32.0,Dirección no informada,no,350000.0,10937.5,53549702,Palermo,PALERMO,NORTE,"Dirección no informada,Palermo, Buenos Aires, Argentina",,
USD 1.900,"Palermo Chico, Palermo",$ 345.000 Expensas,3.0,91.0,Av Figueroa Alcorta 3351,si,2561200.0,28145.054945054944,53311995,Palermo,PALERMO,NORTE,"Av Figueroa Alcorta 3351,Palermo, Buenos Aires, Argentina",-34.57773405102041,-58.40297011020408
USD 4.500,"Palermo Chico, Palermo",$ 500.000 Expensas,,300.0,Libertador 3100,si,6066000.0,20220.0,53146158,Palermo,PALERMO,NORTE,"Libertador 3100,Palermo, Buenos Aires, Argentina",-34.5768102,-58.4117612
USD 2.600,"Palermo Chico, Palermo",,4.0,145.0,Godoy Cruz  3100 1°,si,3504800.0,24171.03448275862,53151844,Palermo,PALERMO,NORTE,"Godoy Cruz 3100 1°,Palermo, Buenos Aires, Argentina",-34.5754878,-58.4223415
USD 2.500,"Palermo Chico, Palermo",$ 526.150 Expensas,3.0,103.0,gelly 3368,si,3370000.0,32718.44660194175,48611785,Palermo,PALERMO,NORTE,"gelly 3368,Palermo, Buenos Aires, Argentina",-34.5772400877551,-58.40504855306123
USD 1.800,"Palermo Chico, Palermo",$ 250.000 Expensas,4.0,110.0,Av. Cnel. Diaz 2300,si,2426400.0,22058.18181818182,42909005,Palermo,PALERMO,NORTE,"Av. Cnel. Diaz 2300,Palermo, Buenos Aires, Argentina",,
USD 2.900,"Palermo Chico, Palermo",$ 180.000 Expensas,3.0,171.0,Martin Coronado al 3260,si,3909200.0,22860.81871345029,53716741,Palermo,PALERMO,NORTE,"Martin Coronado 3260,Palermo, Buenos Aires, Argentina",-34.57695175306122,-58.40254341020408
USD 1.000,"Palermo Chico, Palermo",$ 161.000 Expensas,3.0,60.0,Cerviño  al 3700,si,1348000.0,22466.666666666668,53687730,Palermo,PALERMO,NORTE,"Cerviño 3700,Palermo, Buenos Aires, Argentina",-34.5794915,-58.4111882
USD 2.000,"Palermo Chico, Palermo",$ 200.000 Expensas,3.0,110.0,Gelly 3300 - Torre Gelly - Piso 10,si,2696000.0,24509.090909090908,53225457,Palermo,PALERMO,NORTE,"Gelly 3300 - Torre Gelly - Piso 10,Palermo, Buenos Aires, Argentina",,
$ 435.000,"Palermo Chico, Palermo",$ 83.000 Expensas,2.0,50.0,LAFINUR  3112,no,435000.0,8700.0,48830208,Palermo,PALERMO,NORTE,"LAFINUR 3112,Palermo, Buenos Aires, Argentina",-34.5795729755102,-58.413940173469385
USD 450,"Palermo Chico, Palermo",$ 85.000 Expensas,2.0,40.0,Monsenor Zaspe  3100,si,606600.0,15165.0,53336946,Palermo,PALERMO,NORTE,"Monsenor Zaspe 3100,Palermo, Buenos Aires, Argentina",,
USD 790,"Palermo Chico, Palermo",$ 90.000 Expensas,3.0,74.0,UGARTECHE 2800,si,1064920.0,14390.81081081081,53666193,Palermo,PALERMO,NORTE,"UGARTECHE 2800,Palermo, Buenos Aires, Argentina",-34.5774899,-58.4101226
$ 1.200.000,"Palermo Chico, Palermo",,3.0,140.0,Coronel Diaz  2700 8°,no,1200000.0,8571.42857142857,45340659,Palermo,PALERMO,NORTE,"Coronel Diaz 2700 8°,Palermo, Buenos Aires, Argentina",,
USD 7.000,"Palermo Chico, Palermo",$ 918.000 Expensas,4.0,213.0,Av. Figueroa Alcorta  al 3300,si,9436000.0,44300.46948356808,52561044,Palermo,PALERMO,NORTE,"Av. Figueroa Alcorta 3300,Palermo, Buenos Aires, Argentina",-34.5787889,-58.4021195
$ 750.000,"Palermo Chico, Palermo",$ 80.000 Expensas,3.0,90.0,Dirección no informada,no,750000.0,8333.333333333334,52466556,Palermo,PALERMO,NORTE,"Dirección no informada,Palermo, Buenos Aires, Argentina",,
USD 1.400,"Palermo Chico, Palermo",,3.0,100.0,coronel diaz 2481,si,1887200.0,18872.0,53665661,Palermo,PALERMO,NORTE,"coronel diaz 2481,Palermo, Buenos Aires, Argentina",-34.5929734,-58.4137179
USD 1.500,"Palermo Chico, Palermo",$ 167.000 Expensas,3.0,71.0,UGARTECHE 3200,si,2022000.0,28478.87323943662,53457758,Palermo,PALERMO,NORTE,"UGARTECHE 3200,Palermo, Buenos Aires, Argentina",-34.5796054,-58.4114777
USD 1.300,"Palermo Chico, Palermo",,4.0,90.0,las heras 2900,si,1752400.0,19471.11111111111,53712026,Palermo,PALERMO,NORTE,"las heras 2900,Palermo, Buenos Aires, Argentina",-34.5833014,-58.4024761
USD 1.250,"Palermo Chico, Palermo",$ 137.800 Expensas,3.0,75.0,SILVIO RUGGIERI  2700,si,1685000.0,22466.666666666668,53294511,Palermo,PALERMO,NORTE,"SILVIO RUGGIERI 2700,Palermo, Buenos Aires, Argentina",-34.5791999,-58.4062839
USD 1.400,"Palermo Chico, Palermo",$ 170.000 Expensas,2.0,55.0,Fray Santa María de Oro 2835,si,1887200.0,34312.72727272727,53550794,Palermo,PALERMO,NORTE,"Fray Santa María de Oro 2835,Palermo, Buenos Aires, Argentina",-34.575517649999995,-58.42057575048853
$ 500.000,"Palermo Chico, Palermo",$ 25.000 Expensas,1.0,33.0,PAUNERO 2700,no,500000.0,15151.515151515152,53419530,Palermo,PALERMO,NORTE,"PAUNERO 2700,Palermo, Buenos Aires, Argentina",-34.5813617,-58.4086691
USD 3.000,"Palermo Chico, Palermo",$ 500.000 Expensas,4.0,280.0,Av. Figueroa Alcorta al 3000,si,4044000.0,14442.857142857143,53651770,Palermo,PALERMO,NORTE,"Av. Figueroa Alcorta 3000,Palermo, Buenos Aires, Argentina",-34.5809679,-58.3979889
USD 10.000,"Palermo Chico, Palermo",,6.0,253.0,Salguero 3031,si,13480000.0,53280.63241106719,51709319,Palermo,PALERMO,NORTE,"Salguero 3031,Palermo, Buenos Aires, Argentina",-34.5775402,-58.40536705
