Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,ID,Barrio_geopy,Barrio_Recod,Corredor,DireccionNorm,Latitud,Longitud
USD 1.500,"Recoleta, Capital Federal",$ 258.545 Expensas,4.0,179.0,Parana al 1100,si,2152500.0,12025.13966480447,45596533,Recoleta,RECOLETA,NORTE,"Parana 1100,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5983588,-58.3882086
USD 1.300,"Recoleta, Capital Federal",$ 290.000 Expensas,,148.0,Av Gral Las Heras   al 2900,si,1865500.0,12604.72972972973,54078447,Recoleta,RECOLETA,NORTE,"Av Gral Las Heras  2900,Recoleta, Ciudad de Buenos Aires, Argentina",,
USD 3.000,"Recoleta, Capital Federal",$ 45.000 Expensas,5.0,264.0,Carlos Pellegrini 1300,si,4305000.0,16306.818181818182,52726729,Recoleta,RECOLETA,NORTE,"Carlos Pellegrini 1300,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5871795,-58.3935416
USD 400,"Recoleta, Capital Federal",$ 135.000 Expensas,2.0,36.0,Montevideo  al 1900,si,574000.0,15944.444444444443,54245714,Recoleta,RECOLETA,NORTE,"Montevideo 1900,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5888203,-58.3850767
$ 415.000,"Recoleta, Capital Federal",$ 166.062 Expensas,1.0,39.0,Austria al 2500,no,415000.0,10641.02564102564,54358680,Recoleta,RECOLETA,NORTE,"Austria 2500,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5850619,-58.4001472
USD 880,"Recoleta, Capital Federal",$ 217.000 Expensas,2.0,75.0,Ayacucho al 1600,si,1262800.0,16837.333333333332,54114790,Recoleta,RECOLETA,NORTE,"Ayacucho 1600,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5909946,-58.3931211
USD 800,"Recoleta, Capital Federal",$ 90.000 Expensas,3.0,73.0,Pueyrredón y French,si,1148000.0,15726.027397260274,54261110,Recoleta,RECOLETA,NORTE,"Pueyrredón y French,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5905295,-58.4004314
USD 2.100,"Recoleta, Capital Federal",$ 400.000 Expensas,5.0,210.0,Suipacha 1300,si,3013500.0,14350.0,54383596,Recoleta,RECOLETA,NORTE,"Suipacha 1300,Recoleta, Ciudad de Buenos Aires, Argentina",,
USD 550,"Recoleta, Capital Federal",$ 255.000 Expensas,1.0,38.0,Peña  2528,si,789250.0,20769.736842105263,53632140,Recoleta,RECOLETA,NORTE,"Peña 2528,Recoleta, Ciudad de Buenos Aires, Argentina",-34.588989112244896,-58.400207730612244
$ 500.000,"Recoleta, Capital Federal",$ 108.000 Expensas,3.0,49.0,Av. Santa fe  al 2800 Entre Aguero y Laprida.,no,500000.0,10204.081632653062,53999964,Recoleta,RECOLETA,NORTE,"Av. Santa fe 2800 Entre Aguero y Laprida.,Recoleta, Ciudad de Buenos Aires, Argentina",,
USD 6.900,"Recoleta, Capital Federal",$ 450.000 Expensas,5.0,400.0,Av. Alvear al 1300,si,9901500.0,24753.75,47041453,Recoleta,RECOLETA,NORTE,"Av. Alvear 1300,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5860803,-58.39034
USD 500,"Recoleta, Capital Federal",$ 138.000 Expensas,2.0,32.0,Vicente López  al 1700,si,717500.0,22421.875,54353688,Recoleta,RECOLETA,NORTE,"Vicente López 1700,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5918166,-58.3898914
USD 2.900,"Recoleta, Capital Federal",$ 900.000 Expensas,3.0,226.0,Torre Deco Recoleta - Guido 1999,si,4161500.0,18413.71681415929,53103571,Recoleta,RECOLETA,NORTE,"Torre Deco Recoleta - Guido 1999,Recoleta, Ciudad de Buenos Aires, Argentina",,
USD 750,"Recoleta, Capital Federal",$ 220.000 Expensas,2.0,73.0,Ayacucho al 1600,si,1076250.0,14743.150684931506,53969129,Recoleta,RECOLETA,NORTE,"Ayacucho 1600,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5909946,-58.3931211
USD 1.100,"Recoleta, Capital Federal",$ 250.000 Expensas,4.0,77.0,Marcelo T De Alvear  1200 5°,si,1578500.0,20500.0,54213677,Recoleta,RECOLETA,NORTE,"Marcelo T De Alvear 1200 5°,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5972134,-58.3918196
USD 420,"Recoleta, Capital Federal",,1.0,45.0,Av. Santa Fe  al 2300,si,602700.0,13393.333333333334,54016087,Recoleta,RECOLETA,NORTE,"Av. Santa Fe 2300,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5953225,-58.3996055
USD 1.500,"Recoleta, Capital Federal",$ 234.300 Expensas,3.0,130.0,Rodriguez Peña al 2000,si,2152500.0,16557.69230769231,54083709,Recoleta,RECOLETA,NORTE,"Rodriguez Peña 2000,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5881583,-58.3862579
$ 550.000,"Recoleta, Capital Federal",$ 70.000 Expensas,2.0,35.0,Av Santa Fe  al 1900,no,550000.0,15714.285714285714,54362373,Recoleta,RECOLETA,NORTE,"Av Santa Fe 1900,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5959172,-58.394632
USD 1.200,"Recoleta, Capital Federal",,3.0,65.0,"Departamento en Alquiler, 3 Ambientes, en Recoleta, Capital Federal,  Caba",si,1722000.0,26492.30769230769,53813250,Recoleta,RECOLETA,NORTE,"Departamento en Alquiler, 3 Ambientes, en Recoleta, Capital Federal, Caba,Recoleta, Ciudad de Buenos Aires, Argentina",,
USD 1.300,"Recoleta, Capital Federal",$ 400.000 Expensas,3.0,142.0,Av Pueyrredon al 2400,si,1865500.0,13137.323943661971,53928825,Recoleta,RECOLETA,NORTE,"Av Pueyrredon 2400,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5863331,-58.3951772
USD 5.000,"Recoleta, Capital Federal",$ 369.000 Expensas,4.0,157.0,Austria  al 1900,si,7175000.0,45700.63694267516,54298129,Recoleta,RECOLETA,NORTE,"Austria 1900,Recoleta, Ciudad de Buenos Aires, Argentina",-34.5896647,-58.4064516
